Time, H35, H70 
00:09,,72.00
00:12,,72.00
00:25,,72.00
00:28,,72.00
00:39,,70.00
00:42,,70.00
00:56,,70.00
00:58,,70.00
01:09,,70.00
01:12,,70.00
01:26,,70.00
01:28,,70.00
01:40,,70.00
01:41,,70.00
01:56,,70.00
01:59,,70.00
02:10,,70.00
02:12,,70.00
02:26,,70.00
02:29,,70.00
02:40,,69.00
02:43,,69.00
02:57,,69.00
02:59,,69.00
03:10,,69.00
03:13,,69.00
03:27,,69.00
03:29,,69.00
03:41,,69.00
03:43,,69.00
03:57,,69.00
04:00,,69.00
04:11,,69.00
04:13,,69.00
04:27,,69.00
04:30,,69.00
04:41,,69.00
04:44,,69.00
04:57,,69.00
05:00,,69.00
05:11,,69.00
05:14,,69.00
05:28,,69.00
05:30,,69.00
05:41,,66.00
05:44,,66.00
05:57,,66.00
06:00,,67.00
06:12,,67.00
06:14,,67.00
06:28,,67.00
06:31,,67.00
06:42,,65.00
06:45,,65.00
06:58,,58.00
07:00,,59.00
07:12,,51.00
07:15,,48.00
07:29,,43.00
07:31,,42.00
07:42,,39.00
07:45,,40.00
07:59,,36.00
08:02,,33.00
08:13,,33.00
08:15,,33.00
08:29,,34.00
08:32,,34.00
08:43,,34.00
08:46,,35.00
08:59,,33.00
09:02,,33.00
09:13,,71.00
09:16,,64.00
09:30,,106.00
09:31,,99.00
09:43,,97.00
09:46,,95.00
10:00,,90.00
10:03,,88.00
10:14,,84.00
10:15,,83.00
10:30,,79.00
10:30,,79.00
10:33,,79.00
10:44,,76.00
10:46,,76.00
11:00,,76.00
11:00,,76.00
11:03,,76.00
11:14,,76.00
11:17,,76.00
11:30,,76.00
11:31,,76.00
11:33,,76.00
11:44,,76.00
11:47,,75.00
12:00,,73.00
12:01,,73.00
12:03,,72.00
12:15,,71.00
12:17,,71.00
12:31,,68.00
12:31,,68.00
12:34,,68.00
12:45,,68.00
12:47,,66.00
13:01,,66.00
13:01,,66.00
13:04,,63.00
13:15,,63.00
13:18,,62.00
13:31,,59.00
13:32,,59.00
13:34,,59.00
13:45,,59.00
13:47,,60.00
14:01,,53.00
14:02,,51.00
14:04,,49.00
14:16,,50.00
14:18,,50.00
14:32,,46.00
14:32,,46.00
14:35,,47.00
14:46,,45.00
14:48,,45.00
15:02,,46.00
15:02,,46.00
15:05,,46.00
15:15,,43.00
15:19,,44.00
15:32,,42.00
15:33,,42.00
15:35,,42.00
15:46,,37.00
15:49,,35.00
16:02,,32.00
16:03,,32.00
16:05,,32.00
16:17,,33.00
16:19,,33.00
16:33,,31.00
16:33,,31.00
16:36,,27.00
16:47,,25.00
16:49,,25.00
17:03,,26.00
17:03,,26.00
17:06,,25.00
17:17,,26.00
17:19,,26.00
17:33,,26.00
17:33,,26.00
17:36,,26.00
17:47,,24.00
17:50,,25.00
18:02,,19.00
18:04,,19.00
18:05,,19.00
18:17,,17.00
18:20,,17.00
18:33,,30.00
18:34,,31.00
18:37,,63.00
18:48,,53.00
18:50,,92.00
19:04,,91.00
19:04,,91.00
19:07,,80.00
19:18,,89.00
19:21,,89.00
19:34,,84.00
19:34,,84.00
19:37,,84.00
19:48,,81.00
19:51,,81.00
20:04,,80.00
20:05,,79.00
20:07,,79.00
20:18,,79.00
20:21,,79.00
20:34,,78.00
20:35,,78.00
20:37,,78.00
20:49,,78.00
20:51,,78.00
21:05,,75.00
21:05,,75.00
21:08,,75.00
21:19,,72.00
21:21,,72.00
21:35,,68.00
21:35,,68.00
21:37,,67.00
21:49,,66.00
21:52,,66.00
22:05,,65.00
22:06,,62.00
22:08,,61.00
22:19,,56.00
22:22,,56.00
22:35,,57.00
22:36,,57.00
22:38,,57.00
22:50,,52.00
22:52,,53.00
23:05,,54.00
23:05,,54.00
23:09,,54.00
23:20,,54.00
23:22,,54.00
23:36,,55.00
23:36,,55.00
23:39,,55.00
23:50,,56.00
23:53,,56.00
