Time, H35, H70 
00:08,103.00,94.00
00:08,103.00,94.00
00:18,102.00,93.00
00:28,102.00,93.00
00:38,102.00,93.00
00:38,102.00,93.00
00:48,102.00,93.00
00:58,102.00,93.00
01:08,102.00,93.00
01:08,102.00,93.00
01:18,102.00,93.00
01:28,102.00,93.00
01:38,102.00,93.00
01:38,102.00,93.00
01:48,102.00,93.00
01:58,102.00,93.00
02:08,102.00,93.00
02:08,102.00,93.00
02:18,102.00,93.00
02:28,102.00,93.00
02:38,102.00,93.00
02:38,102.00,93.00
02:48,102.00,93.00
02:58,102.00,93.00
03:08,102.00,93.00
03:08,102.00,93.00
03:18,102.00,93.00
03:28,102.00,93.00
03:38,102.00,93.00
03:38,102.00,93.00
03:48,102.00,93.00
03:58,102.00,93.00
04:08,102.00,93.00
04:08,102.00,93.00
04:18,102.00,93.00
04:28,101.00,92.00
04:38,101.00,92.00
04:38,101.00,92.00
04:48,101.00,92.00
04:58,101.00,92.00
05:08,101.00,92.00
05:08,101.00,92.00
05:18,101.00,92.00
05:28,101.00,92.00
05:38,101.00,92.00
05:38,101.00,92.00
05:48,101.00,92.00
05:58,101.00,92.00
06:08,101.00,92.00
06:08,101.00,92.00
06:18,101.00,92.00
06:28,101.00,92.00
06:38,101.00,92.00
06:38,101.00,92.00
06:48,101.00,92.00
06:58,101.00,92.00
07:08,101.00,92.00
07:08,101.00,92.00
07:18,101.00,92.00
07:28,101.00,92.00
07:38,101.00,92.00
07:38,101.00,92.00
07:48,101.00,92.00
07:58,101.00,92.00
08:08,100.00,91.00
08:08,100.00,91.00
08:18,99.00,90.00
08:28,99.00,90.00
08:38,99.00,90.00
08:38,99.00,90.00
08:48,99.00,90.00
08:58,99.00,90.00
09:08,99.00,90.00
09:08,99.00,90.00
09:18,99.00,90.00
09:28,99.00,90.00
09:38,99.00,90.00
09:38,99.00,90.00
09:48,98.00,89.00
09:58,99.00,90.00
09:58,99.00,90.00
10:08,99.00,90.00
10:08,99.00,90.00
10:18,99.00,90.00
10:28,90.00,81.00
10:28,90.00,81.00
10:38,93.00,84.00
10:38,93.00,84.00
10:48,88.00,79.00
10:58,78.00,69.00
10:58,78.00,69.00
11:08,80.00,71.00
11:08,80.00,71.00
11:18,82.00,73.00
11:28,82.00,73.00
11:28,82.00,73.00
11:38,83.00,74.00
11:38,83.00,74.00
11:48,82.00,73.00
11:58,81.00,72.00
11:58,81.00,72.00
12:08,81.00,72.00
12:08,81.00,72.00
12:20,67.00,3.00
12:29,68.00,59.00
12:29,68.00,59.00
12:38,71.00,62.00
12:38,71.00,62.00
12:48,71.00,62.00
12:58,67.00,58.00
12:58,67.00,58.00
13:08,68.00,59.00
13:08,68.00,59.00
13:18,62.00,53.00
13:28,63.00,54.00
13:28,63.00,54.00
13:38,64.00,55.00
13:38,64.00,55.00
13:48,64.00,55.00
13:58,62.00,53.00
13:58,62.00,53.00
14:08,63.00,54.00
14:08,63.00,54.00
14:18,63.00,54.00
14:28,55.00,46.00
14:28,55.00,46.00
14:38,55.00,46.00
14:38,55.00,46.00
14:48,56.00,47.00
14:58,56.00,47.00
14:58,56.00,47.00
15:08,53.00,44.00
15:08,53.00,44.00
15:18,54.00,45.00
15:28,54.00,45.00
15:28,54.00,45.00
15:38,54.00,45.00
15:38,54.00,45.00
15:48,53.00,44.00
15:58,53.00,44.00
15:58,53.00,44.00
16:08,50.00,41.00
16:08,50.00,41.00
16:18,50.00,41.00
16:28,44.00,35.00
16:28,44.00,35.00
16:38,42.00,33.00
16:38,42.00,33.00
16:48,41.00,32.00
16:58,40.00,31.00
16:58,40.00,31.00
17:08,39.00,30.00
17:08,39.00,30.00
17:18,35.00,26.00
17:28,36.00,27.00
17:28,36.00,27.00
17:38,36.00,27.00
17:38,36.00,27.00
17:48,36.00,27.00
17:58,36.00,27.00
17:58,36.00,27.00
18:08,36.00,27.00
18:18,36.00,27.00
18:18,36.00,27.00
18:28,36.00,27.00
18:28,36.00,27.00
18:38,36.00,27.00
18:48,36.00,27.00
18:48,36.00,27.00
18:58,36.00,27.00
18:58,36.00,27.00
19:08,36.00,27.00
19:18,33.00,24.00
19:18,33.00,24.00
19:28,32.00,23.00
19:28,32.00,23.00
19:38,33.00,24.00
19:48,32.00,23.00
19:48,32.00,23.00
19:58,32.00,23.00
19:58,32.00,23.00
20:08,32.00,23.00
20:18,33.00,24.00
20:18,33.00,24.00
20:28,34.00,25.00
20:28,34.00,25.00
20:38,33.00,24.00
20:48,33.00,24.00
20:48,33.00,24.00
20:58,29.00,20.00
20:58,29.00,20.00
21:08,29.00,20.00
21:18,28.00,19.00
21:18,28.00,19.00
21:28,26.00,17.00
21:38,26.00,17.00
21:38,26.00,17.00
21:48,24.00,15.00
21:48,24.00,15.00
21:58,24.00,15.00
22:08,28.00,19.00
22:08,28.00,19.00
22:18,26.00,17.00
22:18,26.00,17.00
22:28,35.00,26.00
22:38,48.00,39.00
22:38,48.00,39.00
22:48,51.00,42.00
22:48,51.00,42.00
22:58,73.00,64.00
23:08,98.00,89.00
23:08,98.00,89.00
23:18,123.00,114.00
23:18,123.00,114.00
23:28,127.00,118.00
23:38,127.00,118.00
23:38,127.00,118.00
23:48,127.00,118.00
23:48,127.00,118.00
23:58,127.00,118.00
