Time, H35, H70 
10:25,77.00,68.00
10:55,77.00,68.00
11:25,71.00,62.00
11:55,70.00,61.00
12:25,63.00,54.00
12:55,52.00,43.00
13:26,41.00,32.00
13:55,36.00,27.00
14:25,34.00,25.00
14:55,25.00,16.00
15:26,26.00,17.00
15:55,28.00,19.00
16:25,23.00,14.00
16:55,21.00,12.00
17:25,17.00,8.00
18:05,17.00,8.00
18:35,67.00,58.00
19:05,144.00,135.00
19:35,151.00,142.00
20:05,148.00,139.00
20:35,143.00,134.00
21:05,142.00,133.00
21:35,139.00,130.00
22:05,129.00,120.00
22:35,129.00,120.00
23:05,129.00,120.00
23:35,132.00,123.00
