Time, H35, H70 
00:04,61.00,52.00
00:04,61.00,52.00
00:24,61.00,52.00
00:34,61.00,52.00
00:34,61.00,52.00
00:54,61.00,52.00
01:04,61.00,52.00
01:04,61.00,52.00
01:24,61.00,52.00
01:34,61.00,52.00
01:34,61.00,52.00
01:54,61.00,52.00
02:05,61.00,52.00
02:05,61.00,52.00
02:24,61.00,52.00
02:34,61.00,52.00
02:44,61.00,52.00
02:54,61.00,52.00
03:04,61.00,52.00
03:14,61.00,52.00
03:24,61.00,52.00
03:34,61.00,52.00
03:44,61.00,52.00
03:54,61.00,52.00
04:04,61.00,52.00
04:14,61.00,52.00
04:24,61.00,52.00
04:34,61.00,52.00
04:44,61.00,52.00
04:54,61.00,52.00
05:04,61.00,52.00
05:14,61.00,52.00
05:24,61.00,52.00
05:34,61.00,52.00
05:44,61.00,52.00
05:54,61.00,52.00
06:14,61.00,52.00
06:14,61.00,52.00
06:24,61.00,52.00
06:44,61.00,52.00
06:44,61.00,52.00
06:54,61.00,52.00
07:14,58.00,49.00
07:14,58.00,49.00
07:24,58.00,49.00
07:44,57.00,48.00
07:44,57.00,48.00
07:54,62.00,53.00
08:14,74.00,65.00
08:14,74.00,65.00
08:24,96.00,87.00
08:44,123.00,114.00
08:44,123.00,114.00
08:54,123.00,114.00
09:14,122.00,113.00
09:14,122.00,113.00
09:24,122.00,113.00
09:44,115.00,106.00
09:44,115.00,106.00
09:54,115.00,106.00
09:54,115.00,106.00
10:14,114.00,105.00
10:14,114.00,105.00
10:24,114.00,105.00
10:24,114.00,105.00
10:44,114.00,105.00
10:44,114.00,105.00
10:54,113.00,104.00
10:54,113.00,104.00
11:14,108.00,99.00
11:14,108.00,99.00
11:24,104.00,95.00
11:24,104.00,95.00
11:44,104.00,95.00
11:44,104.00,95.00
11:54,104.00,95.00
12:04,100.00,91.00
12:14,99.00,90.00
12:14,99.00,90.00
12:24,99.00,90.00
12:34,97.00,88.00
12:44,93.00,84.00
12:44,93.00,84.00
12:54,89.00,80.00
13:04,85.00,76.00
13:14,86.00,77.00
13:14,86.00,77.00
13:24,83.00,74.00
13:34,82.00,73.00
13:44,80.00,71.00
13:44,80.00,71.00
13:54,75.00,66.00
14:04,71.00,62.00
14:14,69.00,60.00
14:14,69.00,60.00
14:24,67.00,58.00
14:34,66.00,57.00
14:44,66.00,57.00
14:44,66.00,57.00
14:54,63.00,54.00
15:04,64.00,55.00
15:14,64.00,55.00
15:14,64.00,55.00
15:24,61.00,52.00
15:34,63.00,54.00
15:44,63.00,54.00
15:44,63.00,54.00
16:04,61.00,52.00
16:04,61.00,52.00
16:14,60.00,51.00
16:14,60.00,51.00
16:34,61.00,52.00
16:34,61.00,52.00
16:44,60.00,51.00
16:44,60.00,51.00
17:04,57.00,48.00
17:04,57.00,48.00
17:14,51.00,42.00
17:24,49.00,40.00
17:34,48.00,39.00
17:34,48.00,39.00
17:44,48.00,39.00
17:54,46.00,37.00
18:04,47.00,38.00
18:04,47.00,38.00
18:14,41.00,32.00
18:24,39.00,30.00
18:34,41.00,32.00
18:34,41.00,32.00
18:44,41.00,32.00
18:54,39.00,30.00
19:04,39.00,30.00
19:04,39.00,30.00
19:14,37.00,28.00
19:24,33.00,24.00
19:34,32.00,23.00
19:34,32.00,23.00
19:44,34.00,25.00
19:54,33.00,24.00
20:05,34.00,25.00
20:05,34.00,25.00
20:14,33.00,24.00
20:24,31.00,22.00
20:34,30.00,21.00
20:34,30.00,21.00
20:54,27.00,18.00
20:54,27.00,18.00
21:04,26.00,17.00
21:04,26.00,17.00
21:24,21.00,12.00
21:24,21.00,12.00
21:35,22.00,13.00
21:35,22.00,13.00
21:54,14.00,3.00
21:54,14.00,3.00
22:06,12.00,3.00
22:06,12.00,3.00
22:25,14.00,3.00
22:25,14.00,3.00
22:35,14.00,3.00
22:35,14.00,3.00
22:55,14.00,3.00
22:55,14.00,3.00
23:05,13.00,3.00
23:05,13.00,3.00
23:25,14.00,3.00
23:25,14.00,3.00
23:35,14.00,3.00
23:35,14.00,3.00
23:55,14.00,3.00
23:55,14.00,3.00
