Time, H35, H70 
00:03,90.00,88.00
00:03,90.00,88.00
00:09,90.00,88.00
00:09,90.00,88.00
00:11,90.00,88.00
00:12,90.00,88.00
00:13,90.00,88.00
00:16,90.00,88.00
00:17,90.00,88.00
00:24,90.00,88.00
00:25,90.00,88.00
00:27,90.00,88.00
00:28,90.00,88.00
00:29,90.00,88.00
00:33,90.00,88.00
00:34,90.00,88.00
00:39,90.00,88.00
00:40,90.00,88.00
00:41,90.00,88.00
00:43,90.00,88.00
00:43,90.00,88.00
00:46,90.00,88.00
00:47,90.00,88.00
00:54,90.00,88.00
00:55,90.00,88.00
00:57,90.00,88.00
00:58,90.00,88.00
00:59,90.00,88.00
01:03,90.00,88.00
01:04,90.00,88.00
01:10,90.00,88.00
01:10,90.00,88.00
01:12,90.00,88.00
01:13,90.00,88.00
01:14,90.00,88.00
01:17,90.00,88.00
01:17,90.00,88.00
01:25,90.00,88.00
01:26,90.00,88.00
01:27,90.00,88.00
01:28,90.00,88.00
01:30,90.00,88.00
01:34,90.00,88.00
01:34,90.00,88.00
01:40,90.00,88.00
01:40,90.00,88.00
01:42,90.00,88.00
01:43,90.00,88.00
01:44,90.00,88.00
01:47,90.00,88.00
01:48,90.00,88.00
01:55,90.00,88.00
01:56,90.00,88.00
01:57,90.00,88.00
01:59,90.00,88.00
02:00,90.00,88.00
02:00,90.00,88.00
02:00,90.00,88.00
02:10,90.00,88.00
02:11,90.00,88.00
02:12,90.00,88.00
02:14,90.00,88.00
02:14,90.00,88.00
02:17,90.00,88.00
02:18,90.00,88.00
02:25,90.00,88.00
02:26,90.00,88.00
02:28,90.00,88.00
02:29,90.00,88.00
02:30,90.00,88.00
02:35,90.00,88.00
02:35,90.00,88.00
02:41,90.00,88.00
02:41,90.00,88.00
02:43,90.00,88.00
02:44,90.00,88.00
02:45,90.00,88.00
02:48,90.00,88.00
02:48,90.00,88.00
02:56,90.00,88.00
02:57,90.00,88.00
02:58,90.00,88.00
02:58,90.00,88.00
03:00,90.00,88.00
03:05,90.00,88.00
03:05,90.00,88.00
03:11,90.00,88.00
03:12,90.00,88.00
03:13,90.00,88.00
03:14,90.00,88.00
03:15,90.00,88.00
03:18,90.00,88.00
03:19,90.00,88.00
03:26,90.00,88.00
03:27,90.00,88.00
03:28,90.00,88.00
03:30,90.00,88.00
03:31,90.00,88.00
03:35,90.00,88.00
03:36,90.00,88.00
03:42,90.00,88.00
03:42,90.00,88.00
03:43,90.00,88.00
03:45,90.00,88.00
03:45,90.00,88.00
03:48,90.00,88.00
03:49,90.00,88.00
03:56,90.00,88.00
03:57,90.00,88.00
03:59,90.00,88.00
04:00,90.00,88.00
04:00,90.00,88.00
04:06,90.00,88.00
04:06,90.00,88.00
