Time, H35, H70 
00:00,0.00,0.00
00:00,0.00,0.00
00:10,0.00,0.00
00:10,0.00,0.00
00:21,0.00,0.00
00:31,0.00,0.00
00:31,0.00,0.00
00:31,0.00,0.00
00:46,0.00,0.00
00:46,0.00,0.00
00:46,0.00,0.00
01:04,0.00,0.00
01:04,0.00,0.00
01:13,0.00,0.00
01:22,0.00,0.00
01:31,0.00,0.00
01:31,0.00,0.00
01:31,0.00,0.00
01:46,0.00,0.00
01:51,0.00,0.00
02:00,0.00,0.00
02:00,0.00,0.00
02:10,0.00,0.00
02:10,0.00,0.00
02:20,0.00,0.00
02:30,0.00,0.00
02:30,0.00,0.00
02:40,0.00,0.00
02:40,0.00,0.00
02:50,0.00,0.00
03:00,0.00,0.00
03:00,0.00,0.00
03:10,0.00,0.00
03:10,0.00,0.00
03:20,0.00,0.00
03:30,0.00,0.00
03:30,0.00,0.00
03:40,0.00,0.00
03:40,0.00,0.00
03:50,0.00,0.00
04:00,0.00,0.00
04:00,0.00,0.00
04:10,0.00,0.00
04:10,0.00,0.00
04:20,0.00,0.00
04:30,0.00,0.00
04:30,0.00,0.00
04:40,0.00,0.00
04:40,0.00,0.00
04:50,0.00,0.00
05:00,0.00,0.00
05:00,0.00,0.00
05:10,0.00,0.00
05:10,0.00,0.00
05:20,0.00,0.00
05:30,0.00,0.00
05:30,0.00,0.00
05:40,0.00,0.00
05:40,0.00,0.00
05:50,0.00,0.00
06:00,0.00,0.00
06:00,0.00,0.00
06:10,0.00,0.00
06:10,0.00,0.00
06:20,0.00,0.00
06:30,158.00,149.00
06:30,158.00,149.00
06:40,157.00,148.00
06:40,157.00,148.00
06:50,149.00,140.00
07:00,151.00,142.00
07:00,151.00,142.00
07:10,150.00,141.00
07:10,150.00,141.00
07:20,145.00,136.00
07:30,147.00,138.00
07:30,147.00,138.00
07:40,147.00,138.00
07:40,147.00,138.00
07:50,145.00,136.00
08:00,144.00,135.00
08:00,144.00,135.00
08:10,140.00,131.00
08:20,139.00,130.00
08:20,139.00,130.00
08:30,136.00,127.00
08:30,136.00,127.00
08:40,136.00,127.00
08:50,130.00,121.00
08:50,130.00,121.00
09:00,126.00,117.00
09:00,126.00,117.00
09:10,127.00,118.00
09:20,126.00,117.00
09:20,126.00,117.00
09:30,123.00,114.00
09:30,123.00,114.00
09:40,123.00,114.00
09:50,123.00,114.00
09:50,123.00,114.00
10:00,122.00,113.00
10:00,122.00,113.00
10:10,120.00,111.00
10:20,120.00,111.00
10:20,120.00,111.00
10:30,116.00,107.00
10:30,116.00,107.00
10:40,111.00,102.00
10:50,113.00,104.00
10:50,113.00,104.00
10:50,113.00,104.00
11:00,113.00,104.00
11:00,113.00,104.00
11:10,108.00,99.00
11:20,105.00,96.00
11:20,105.00,96.00
11:30,102.00,93.00
11:30,102.00,93.00
11:30,102.00,93.00
11:40,103.00,94.00
11:50,103.00,94.00
11:50,103.00,94.00
12:00,102.00,93.00
12:00,102.00,93.00
12:00,102.00,93.00
12:10,101.00,92.00
12:20,94.00,85.00
12:20,94.00,85.00
12:30,93.00,84.00
12:30,93.00,84.00
12:30,93.00,84.00
12:40,90.00,81.00
12:50,90.00,81.00
12:50,90.00,81.00
13:00,90.00,81.00
