Time, H35, H70 
00:05,111.00,102.00
00:25,149.00,140.00
00:35,162.00,153.00
00:55,172.00,163.00
01:05,172.00,163.00
01:25,172.00,163.00
01:35,172.00,163.00
01:55,171.00,162.00
02:05,171.00,162.00
02:25,171.00,162.00
02:35,171.00,162.00
02:55,166.00,157.00
03:05,166.00,157.00
03:25,166.00,157.00
03:35,166.00,157.00
03:55,166.00,157.00
04:05,166.00,157.00
04:25,166.00,157.00
04:35,166.00,157.00
04:55,166.00,157.00
05:05,166.00,157.00
05:25,166.00,157.00
05:34,166.00,157.00
05:54,166.00,157.00
06:04,166.00,157.00
06:24,166.00,157.00
06:34,166.00,157.00
06:54,165.00,156.00
07:04,165.00,156.00
07:24,165.00,156.00
07:44,165.00,156.00
07:54,164.00,155.00
08:14,164.00,155.00
08:24,164.00,155.00
08:44,163.00,154.00
08:54,163.00,154.00
09:15,157.00,148.00
09:25,156.00,147.00
09:45,156.00,147.00
09:55,155.00,146.00
10:15,156.00,147.00
10:25,155.00,146.00
10:25,155.00,146.00
10:45,154.00,145.00
10:55,154.00,145.00
10:55,154.00,145.00
11:15,153.00,144.00
11:25,152.00,143.00
11:25,152.00,143.00
11:45,152.00,143.00
11:55,149.00,140.00
11:55,149.00,140.00
12:15,149.00,140.00
12:25,148.00,139.00
12:25,148.00,139.00
12:45,136.00,127.00
12:55,140.00,131.00
12:55,140.00,131.00
13:15,138.00,129.00
13:25,139.00,130.00
13:25,139.00,130.00
13:45,136.00,127.00
13:55,136.00,127.00
13:55,136.00,127.00
14:15,135.00,126.00
14:25,135.00,126.00
14:25,135.00,126.00
14:45,134.00,125.00
14:55,134.00,125.00
15:05,125.00,116.00
15:15,128.00,119.00
15:25,128.00,119.00
15:35,128.00,119.00
15:45,126.00,117.00
15:55,126.00,117.00
16:05,127.00,118.00
16:15,127.00,118.00
16:25,127.00,118.00
16:35,128.00,119.00
16:45,129.00,120.00
16:55,129.00,120.00
17:05,129.00,120.00
17:15,130.00,121.00
17:25,130.00,121.00
17:35,130.00,121.00
17:45,130.00,121.00
17:55,131.00,122.00
18:05,131.00,122.00
18:15,131.00,122.00
18:35,127.00,118.00
18:35,127.00,118.00
18:45,125.00,116.00
19:05,126.00,117.00
19:05,126.00,117.00
19:15,127.00,118.00
19:35,127.00,118.00
19:35,127.00,118.00
19:45,127.00,118.00
20:00,127.00,118.00
20:07,127.00,118.00
20:16,127.00,118.00
20:26,127.00,118.00
20:36,127.00,118.00
20:46,126.00,117.00
21:06,125.00,116.00
21:06,125.00,116.00
21:16,125.00,116.00
21:36,125.00,116.00
21:36,125.00,116.00
21:46,120.00,111.00
22:06,120.00,111.00
22:06,120.00,111.00
22:16,120.00,111.00
22:36,121.00,112.00
22:36,121.00,112.00
22:46,122.00,113.00
23:06,122.00,113.00
23:06,122.00,113.00
23:16,122.00,113.00
23:36,122.00,113.00
23:36,122.00,113.00
23:46,122.00,113.00
