Time, H35, H70 
09:49,0.00,0.00
10:19,0.00,0.00
10:49,0.00,0.00
11:19,0.00,0.00
11:55,115.00,106.00
12:25,114.00,105.00
13:02,106.00,3.00
13:25,94.00,85.00
13:55,98.00,89.00
14:25,97.00,88.00
14:57,91.00,3.00
15:27,86.00,77.00
15:57,80.00,71.00
16:27,0.00,0.00
16:57,74.00,65.00
17:27,69.00,60.00
17:57,58.00,49.00
18:27,114.00,105.00
18:57,153.00,144.00
19:27,153.00,144.00
20:07,132.00,123.00
20:37,127.00,118.00
21:07,120.00,111.00
21:37,120.00,111.00
22:07,120.00,111.00
22:37,115.00,106.00
23:07,115.00,106.00
23:37,111.00,102.00
