Time, H35, H70 
00:09,73.00,71.00
00:39,72.00,69.00
01:10,72.00,69.00
01:40,72.00,70.00
02:10,72.00,70.00
02:40,73.00,71.00
03:10,73.00,71.00
03:41,74.00,72.00
04:12,74.00,72.00
04:42,74.00,71.00
05:12,74.00,71.00
05:41,74.00,72.00
06:13,61.00,58.00
06:43,57.00,54.00
07:14,62.00,59.00
07:36,45.00,43.00
08:14,48.00,46.00
08:45,46.00,44.00
09:15,48.00,46.00
09:45,77.00,75.00
09:59,124.00,122.00
10:16,134.00,131.00
10:30,136.00,134.00
10:46,139.00,137.00
11:00,142.00,139.00
11:16,131.00,129.00
11:31,128.00,126.00
11:47,117.00,115.00
12:01,112.00,109.00
12:17,115.00,112.00
12:31,114.00,112.00
12:47,109.00,106.00
13:02,103.00,101.00
13:18,106.00,104.00
13:30,108.00,106.00
13:48,112.00,109.00
14:02,112.00,110.00
14:18,106.00,103.00
14:33,108.00,106.00
14:49,104.00,102.00
15:03,108.00,106.00
15:19,111.00,109.00
15:33,107.00,105.00
15:49,98.00,4.00
16:03,100.00,4.00
16:20,94.00,91.00
16:34,96.00,94.00
16:50,99.00,96.00
17:04,91.00,88.00
17:20,94.00,92.00
17:34,86.00,84.00
17:51,89.00,87.00
18:05,92.00,90.00
18:21,96.00,93.00
18:35,96.00,93.00
18:50,96.00,94.00
19:05,86.00,84.00
19:22,69.00,67.00
19:36,62.00,60.00
19:52,4.00,4.00
20:06,4.00,4.00
20:22,4.00,4.00
20:36,4.00,4.00
20:53,4.00,4.00
21:07,4.00,4.00
21:23,4.00,4.00
21:37,4.00,4.00
21:53,4.00,4.00
22:08,66.00,64.00
22:24,69.00,66.00
22:38,71.00,69.00
22:54,74.00,72.00
23:08,65.00,62.00
23:24,64.00,62.00
23:39,66.00,64.00
23:55,66.00,64.00
