Time, H35, H70 
00:07,0.00,0.00
00:37,73.00,64.00
01:07,156.00,147.00
01:37,156.00,147.00
02:06,156.00,147.00
02:37,153.00,144.00
03:07,153.00,144.00
03:36,152.00,143.00
04:06,152.00,143.00
04:36,151.00,142.00
05:06,151.00,142.00
05:36,150.00,141.00
06:08,150.00,141.00
06:36,145.00,136.00
07:07,132.00,123.00
07:36,120.00,111.00
08:06,114.00,105.00
08:37,98.00,89.00
09:07,95.00,86.00
09:37,92.00,83.00
09:57,87.00,78.00
10:07,87.00,78.00
10:27,87.00,78.00
10:37,87.00,78.00
10:57,88.00,79.00
11:07,88.00,79.00
11:27,88.00,79.00
11:47,87.00,78.00
11:57,87.00,78.00
12:17,85.00,76.00
12:27,79.00,70.00
12:47,71.00,62.00
12:57,72.00,63.00
13:17,72.00,63.00
13:27,69.00,60.00
13:47,59.00,50.00
13:57,61.00,52.00
14:17,60.00,51.00
14:27,60.00,51.00
14:47,61.00,52.00
14:57,59.00,50.00
15:17,46.00,37.00
15:27,47.00,38.00
15:47,45.00,36.00
15:57,43.00,34.00
16:17,43.00,34.00
16:27,43.00,34.00
16:47,41.00,32.00
16:57,43.00,34.00
17:17,32.00,23.00
17:27,30.00,21.00
17:49,21.00,3.00
17:57,22.00,3.00
18:17,0.00,0.00
18:27,0.00,0.00
18:47,14.00,3.00
18:57,0.00,0.00
19:21,7.00,3.00
19:27,0.00,0.00
19:47,0.00,0.00
19:57,0.00,0.00
20:17,0.00,0.00
20:37,0.00,0.00
20:47,75.00,66.00
21:07,142.00,133.00
21:17,164.00,155.00
21:37,157.00,148.00
21:47,149.00,140.00
22:07,151.00,142.00
22:17,150.00,141.00
22:37,150.00,141.00
22:47,150.00,141.00
23:07,149.00,140.00
23:17,149.00,140.00
23:37,149.00,140.00
23:47,149.00,140.00
