Time, H35, H70 
00:17,0.00,0.00
00:47,0.00,0.00
01:17,0.00,0.00
01:47,0.00,0.00
02:17,0.00,0.00
02:47,0.00,0.00
03:17,0.00,0.00
03:47,0.00,0.00
04:17,0.00,0.00
04:47,0.00,0.00
05:17,0.00,0.00
05:57,0.00,0.00
06:27,0.00,0.00
06:57,0.00,0.00
07:27,0.00,0.00
07:57,0.00,0.00
08:27,0.00,0.00
08:57,0.00,0.00
09:27,0.00,0.00
09:57,0.00,0.00
10:27,0.00,0.00
10:57,0.00,0.00
11:27,0.00,0.00
11:37,0.00,0.00
11:57,44.00,35.00
12:07,75.00,66.00
12:27,124.00,115.00
12:37,123.00,114.00
12:57,123.00,114.00
13:07,123.00,114.00
13:27,123.00,114.00
13:37,121.00,112.00
13:57,121.00,112.00
14:07,117.00,108.00
14:27,116.00,107.00
14:37,116.00,107.00
14:57,112.00,103.00
15:17,112.00,103.00
15:27,112.00,103.00
15:47,113.00,104.00
15:57,113.00,104.00
16:17,112.00,103.00
16:27,107.00,98.00
16:47,108.00,99.00
16:57,103.00,94.00
17:17,104.00,95.00
17:27,104.00,95.00
17:47,104.00,95.00
17:57,104.00,95.00
18:17,105.00,96.00
18:27,105.00,96.00
18:47,105.00,96.00
18:57,105.00,96.00
19:17,105.00,96.00
19:27,105.00,96.00
19:47,104.00,95.00
19:57,98.00,89.00
20:17,98.00,89.00
20:37,97.00,88.00
20:47,97.00,88.00
21:07,96.00,87.00
21:17,95.00,86.00
21:37,95.00,86.00
21:47,95.00,86.00
22:07,95.00,86.00
22:17,95.00,86.00
22:37,93.00,84.00
22:47,92.00,83.00
23:07,92.00,83.00
23:17,92.00,83.00
23:37,92.00,83.00
23:47,93.00,84.00
