Time, H35, H70 
00:05,62.00,62.00
00:05,62.00,62.00
00:05,62.00,62.00
00:20,62.00,62.00
00:20,62.00,62.00
00:30,62.00,62.00
00:30,62.00,62.00
00:30,62.00,62.00
00:50,62.00,62.00
00:50,62.00,62.00
01:05,62.00,62.00
01:05,62.00,62.00
01:05,62.00,62.00
01:15,62.00,62.00
01:15,62.00,62.00
01:35,62.00,62.00
01:35,62.00,62.00
01:35,62.00,62.00
01:45,62.00,62.00
01:45,62.00,62.00
02:05,62.00,62.00
02:05,62.00,62.00
02:05,62.00,62.00
02:20,62.00,62.00
02:20,62.00,62.00
02:35,62.00,62.00
02:35,62.00,62.00
02:35,62.00,62.00
02:45,62.00,62.00
02:45,62.00,62.00
03:00,62.00,62.00
03:00,62.00,62.00
03:10,62.00,62.00
03:20,62.00,62.00
03:20,62.00,62.00
03:30,62.00,62.00
03:30,62.00,62.00
03:40,62.00,62.00
03:50,62.00,62.00
03:50,62.00,62.00
04:00,62.00,62.00
04:00,62.00,62.00
04:10,62.00,62.00
04:20,62.00,62.00
04:20,62.00,62.00
04:30,62.00,62.00
04:30,62.00,62.00
04:40,62.00,62.00
04:50,62.00,62.00
04:50,62.00,62.00
05:00,62.00,62.00
05:00,62.00,62.00
05:10,62.00,62.00
05:20,62.00,62.00
05:25,62.00,62.00
05:35,62.00,62.00
05:35,62.00,62.00
05:35,62.00,62.00
05:45,62.00,62.00
05:55,62.00,62.00
06:00,62.00,62.00
06:00,62.00,62.00
06:10,62.00,62.00
06:20,62.00,62.00
06:20,62.00,62.00
06:30,62.00,62.00
06:40,62.00,62.00
06:40,62.00,62.00
06:50,62.00,62.00
06:55,62.00,62.00
07:05,64.00,64.00
07:10,64.00,64.00
07:10,64.00,64.00
07:15,65.00,65.00
07:25,65.00,65.00
07:40,65.00,65.00
07:40,65.00,65.00
07:40,65.00,65.00
07:50,65.00,65.00
07:50,65.00,65.00
08:05,65.00,65.00
08:05,65.00,65.00
08:05,65.00,65.00
08:20,65.00,65.00
08:20,65.00,65.00
08:35,65.00,65.00
08:35,65.00,65.00
08:35,65.00,65.00
08:50,65.00,65.00
08:50,65.00,65.00
09:05,65.00,65.00
09:05,65.00,65.00
09:05,65.00,65.00
09:25,58.00,58.00
09:25,58.00,58.00
09:35,60.00,60.00
09:35,60.00,60.00
09:35,60.00,60.00
09:55,63.00,63.00
09:55,63.00,63.00
10:10,62.00,62.00
10:10,62.00,62.00
10:10,62.00,62.00
10:25,62.00,62.00
10:25,62.00,62.00
10:25,62.00,62.00
10:35,63.00,63.00
10:35,63.00,63.00
10:35,63.00,63.00
10:55,62.00,62.00
10:55,62.00,62.00
11:00,62.00,62.00
11:10,64.00,64.00
11:10,64.00,64.00
11:10,64.00,64.00
11:20,64.00,64.00
11:20,64.00,64.00
11:30,62.00,62.00
11:40,63.00,63.00
11:40,63.00,63.00
11:45,63.00,63.00
11:50,63.00,63.00
11:50,63.00,63.00
12:00,59.00,59.00
12:10,56.00,56.00
12:10,56.00,56.00
12:10,56.00,56.00
12:25,59.00,59.00
12:25,59.00,59.00
12:25,59.00,59.00
12:35,60.00,60.00
12:35,60.00,60.00
12:45,62.00,62.00
12:50,63.00,63.00
12:50,63.00,63.00
13:00,63.00,63.00
13:10,63.00,63.00
13:10,63.00,63.00
13:10,63.00,63.00
13:20,60.00,60.00
13:20,60.00,60.00
13:30,56.00,56.00
13:35,54.00,54.00
13:35,54.00,54.00
13:45,56.00,56.00
13:50,57.00,57.00
13:50,57.00,57.00
14:00,53.00,53.00
14:05,53.00,53.00
14:05,53.00,53.00
14:15,49.00,49.00
14:25,51.00,51.00
14:25,51.00,51.00
14:30,52.00,52.00
14:40,53.00,53.00
14:40,53.00,53.00
14:40,53.00,53.00
14:50,55.00,55.00
15:00,57.00,57.00
15:00,57.00,57.00
15:10,58.00,58.00
15:10,58.00,58.00
15:15,59.00,59.00
15:25,61.00,61.00
15:25,61.00,61.00
15:25,61.00,61.00
15:35,62.00,62.00
15:35,62.00,62.00
15:45,64.00,64.00
15:55,64.00,64.00
16:00,64.00,64.00
16:00,64.00,64.00
16:10,60.00,60.00
16:10,60.00,60.00
16:10,60.00,60.00
16:20,61.00,61.00
16:30,63.00,63.00
16:30,63.00,63.00
16:40,64.00,64.00
16:40,64.00,64.00
16:40,64.00,64.00
16:50,64.00,64.00
17:00,64.00,64.00
17:00,64.00,64.00
17:10,64.00,64.00
17:10,64.00,64.00
17:10,64.00,64.00
17:20,64.00,64.00
17:30,60.00,60.00
17:30,60.00,60.00
17:40,62.00,62.00
17:45,63.00,63.00
17:45,63.00,63.00
17:55,64.00,64.00
17:55,64.00,64.00
17:55,64.00,64.00
18:15,64.00,64.00
18:15,64.00,64.00
18:15,64.00,64.00
18:25,64.00,64.00
18:25,64.00,64.00
18:25,64.00,64.00
18:45,64.00,64.00
18:45,64.00,64.00
18:45,64.00,64.00
18:55,64.00,64.00
18:55,64.00,64.00
18:55,64.00,64.00
19:15,64.00,64.00
19:15,64.00,64.00
19:15,64.00,64.00
19:25,64.00,64.00
19:30,64.00,64.00
19:30,64.00,64.00
19:40,64.00,64.00
19:40,64.00,64.00
19:40,64.00,64.00
20:00,64.00,64.00
20:00,64.00,64.00
20:00,64.00,64.00
20:15,64.00,64.00
20:15,64.00,64.00
20:15,64.00,64.00
20:25,64.00,64.00
20:25,64.00,64.00
20:25,64.00,64.00
20:45,60.00,60.00
20:45,60.00,60.00
20:45,60.00,60.00
20:55,62.00,62.00
20:55,62.00,62.00
21:05,61.00,61.00
21:15,55.00,55.00
21:15,55.00,55.00
21:15,55.00,55.00
21:25,56.00,56.00
21:25,56.00,56.00
21:35,58.00,58.00
21:45,60.00,60.00
21:45,60.00,60.00
21:45,60.00,60.00
22:00,62.00,62.00
22:00,62.00,62.00
22:00,62.00,62.00
22:10,63.00,63.00
22:10,63.00,63.00
22:20,64.00,64.00
22:30,64.00,64.00
22:30,64.00,64.00
22:30,64.00,64.00
22:40,64.00,64.00
22:40,64.00,64.00
22:50,64.00,64.00
23:00,64.00,64.00
23:00,64.00,64.00
23:00,64.00,64.00
23:15,64.00,64.00
23:15,64.00,64.00
23:15,64.00,64.00
23:30,63.00,63.00
23:30,63.00,63.00
23:30,63.00,63.00
23:40,64.00,64.00
23:40,64.00,64.00
23:50,63.00,63.00
