Time, H35, H70 
00:07,67.00,58.00
00:07,67.00,58.00
00:27,67.00,58.00
00:37,67.00,58.00
00:37,67.00,58.00
00:57,67.00,58.00
01:07,67.00,58.00
01:07,67.00,58.00
01:27,67.00,58.00
01:37,67.00,58.00
01:37,67.00,58.00
01:57,67.00,58.00
02:07,67.00,58.00
02:07,67.00,58.00
02:27,95.00,86.00
02:37,105.00,96.00
02:37,105.00,96.00
02:57,136.00,127.00
03:07,132.00,123.00
03:07,132.00,123.00
03:27,132.00,123.00
03:37,132.00,123.00
03:37,132.00,123.00
03:57,132.00,123.00
04:07,131.00,122.00
04:07,131.00,122.00
04:27,131.00,122.00
04:37,131.00,122.00
04:37,131.00,122.00
04:57,131.00,122.00
05:07,130.00,121.00
05:07,130.00,121.00
05:27,128.00,119.00
05:37,127.00,118.00
05:37,127.00,118.00
05:57,127.00,118.00
06:09,127.00,118.00
06:09,127.00,118.00
06:27,127.00,118.00
06:37,126.00,117.00
06:37,126.00,117.00
06:57,126.00,117.00
07:07,126.00,117.00
07:07,126.00,117.00
07:27,126.00,117.00
07:37,126.00,117.00
07:37,126.00,117.00
07:57,117.00,108.00
08:07,119.00,110.00
08:07,119.00,110.00
08:27,119.00,110.00
08:37,115.00,106.00
08:37,115.00,106.00
08:57,116.00,107.00
09:07,116.00,107.00
09:07,116.00,107.00
09:27,111.00,102.00
09:37,108.00,99.00
09:37,108.00,99.00
09:57,108.00,99.00
10:07,108.00,99.00
10:07,108.00,99.00
10:27,106.00,97.00
10:37,102.00,93.00
10:37,102.00,93.00
11:04,89.00,3.00
11:07,89.00,3.00
11:14,89.00,80.00
11:27,89.00,80.00
11:37,90.00,81.00
11:37,90.00,81.00
11:57,83.00,74.00
12:07,83.00,74.00
12:07,83.00,74.00
12:27,72.00,3.00
12:40,0.00,0.00
12:44,67.00,3.00
13:02,67.00,3.00
13:09,0.00,0.00
13:13,59.00,3.00
13:33,58.00,49.00
13:37,59.00,50.00
13:37,59.00,50.00
13:57,60.00,51.00
14:07,57.00,48.00
14:07,57.00,48.00
14:27,54.00,45.00
14:27,54.00,45.00
14:37,50.00,41.00
14:37,50.00,41.00
14:57,52.00,43.00
14:57,52.00,43.00
15:07,52.00,43.00
15:07,52.00,43.00
15:27,49.00,40.00
15:27,49.00,40.00
15:37,47.00,38.00
15:37,47.00,38.00
15:57,44.00,35.00
15:57,44.00,35.00
16:07,44.00,35.00
16:07,44.00,35.00
16:27,42.00,33.00
16:27,42.00,33.00
16:37,42.00,33.00
16:37,42.00,33.00
16:57,37.00,28.00
17:03,32.00,3.00
17:07,33.00,3.00
17:13,33.00,24.00
17:27,34.00,25.00
17:27,34.00,25.00
17:37,34.00,25.00
17:47,34.00,25.00
17:57,34.00,25.00
17:57,34.00,25.00
18:07,35.00,26.00
18:17,35.00,26.00
18:27,35.00,26.00
18:27,35.00,26.00
18:37,35.00,26.00
18:47,51.00,42.00
18:57,75.00,66.00
18:57,75.00,66.00
19:07,90.00,81.00
19:17,114.00,105.00
19:27,124.00,115.00
19:27,124.00,115.00
19:37,144.00,135.00
19:47,155.00,146.00
19:57,150.00,141.00
19:57,150.00,141.00
20:07,152.00,143.00
20:17,152.00,143.00
20:27,146.00,137.00
20:27,146.00,137.00
20:37,144.00,135.00
20:47,141.00,132.00
20:57,140.00,131.00
21:07,141.00,132.00
21:07,141.00,132.00
21:17,141.00,132.00
21:27,137.00,128.00
21:37,130.00,121.00
21:37,130.00,121.00
21:47,120.00,3.00
22:01,120.00,111.00
22:07,121.00,112.00
22:07,121.00,112.00
22:17,117.00,108.00
22:27,118.00,109.00
22:37,119.00,110.00
22:37,119.00,110.00
22:47,116.00,107.00
22:57,113.00,104.00
23:07,113.00,104.00
23:07,113.00,104.00
23:17,109.00,100.00
