Time, H35, H70 
00:07,98.00,89.00
00:07,98.00,89.00
00:17,97.00,88.00
00:17,97.00,88.00
00:37,98.00,89.00
00:37,98.00,89.00
00:47,98.00,89.00
00:47,98.00,89.00
01:07,98.00,89.00
01:07,98.00,89.00
01:17,98.00,89.00
01:27,98.00,89.00
01:37,98.00,89.00
01:37,98.00,89.00
01:47,98.00,89.00
01:57,98.00,89.00
02:07,98.00,89.00
02:07,98.00,89.00
02:17,98.00,89.00
02:27,98.00,89.00
02:37,98.00,89.00
02:37,98.00,89.00
02:47,98.00,89.00
02:57,98.00,89.00
03:07,98.00,89.00
03:07,98.00,89.00
03:17,98.00,89.00
03:27,98.00,89.00
03:37,98.00,89.00
03:37,98.00,89.00
03:47,98.00,89.00
03:57,98.00,89.00
04:07,98.00,89.00
04:07,98.00,89.00
04:17,98.00,89.00
04:27,97.00,88.00
04:37,97.00,88.00
04:37,97.00,88.00
04:47,98.00,89.00
04:57,98.00,89.00
05:07,98.00,89.00
05:07,98.00,89.00
05:27,98.00,89.00
05:27,98.00,89.00
05:37,97.00,88.00
05:37,97.00,88.00
05:57,97.00,88.00
05:57,97.00,88.00
06:07,97.00,88.00
06:07,97.00,88.00
06:27,97.00,88.00
06:27,97.00,88.00
06:37,97.00,88.00
06:37,97.00,88.00
06:57,97.00,88.00
06:57,97.00,88.00
07:07,97.00,88.00
07:07,97.00,88.00
07:27,97.00,88.00
07:27,97.00,88.00
07:37,97.00,88.00
07:37,97.00,88.00
07:57,97.00,88.00
07:57,97.00,88.00
08:07,97.00,88.00
08:07,97.00,88.00
08:27,97.00,88.00
08:27,97.00,88.00
08:37,97.00,88.00
08:37,97.00,88.00
08:57,96.00,87.00
08:57,96.00,87.00
09:07,95.00,86.00
09:07,95.00,86.00
09:27,89.00,80.00
09:27,89.00,80.00
09:37,89.00,80.00
09:37,89.00,80.00
09:57,88.00,79.00
09:57,88.00,79.00
10:07,88.00,79.00
10:17,87.00,78.00
10:27,87.00,78.00
10:27,87.00,78.00
10:37,82.00,73.00
10:47,81.00,72.00
10:57,79.00,70.00
10:57,79.00,70.00
11:07,79.00,70.00
11:17,79.00,70.00
11:27,79.00,70.00
11:27,79.00,70.00
11:37,79.00,70.00
11:47,79.00,70.00
11:57,82.00,73.00
11:57,82.00,73.00
12:07,82.00,73.00
12:17,82.00,73.00
12:27,82.00,73.00
12:27,82.00,73.00
12:37,82.00,73.00
12:47,82.00,73.00
12:57,83.00,74.00
12:57,83.00,74.00
13:07,83.00,74.00
13:17,83.00,74.00
13:27,83.00,74.00
13:27,83.00,74.00
13:27,83.00,74.00
13:37,83.00,74.00
13:47,83.00,74.00
13:57,83.00,74.00
13:57,83.00,74.00
13:57,83.00,74.00
14:07,83.00,74.00
14:17,83.00,74.00
14:27,83.00,74.00
14:27,83.00,74.00
14:27,83.00,74.00
14:47,79.00,70.00
14:47,79.00,70.00
14:57,75.00,66.00
14:57,75.00,66.00
14:57,75.00,66.00
15:17,75.00,66.00
15:17,75.00,66.00
15:27,76.00,67.00
15:27,76.00,67.00
15:27,76.00,67.00
15:47,71.00,62.00
15:47,71.00,62.00
15:57,68.00,59.00
15:57,68.00,59.00
16:07,69.00,60.00
16:17,69.00,60.00
16:17,69.00,60.00
16:27,69.00,60.00
16:27,69.00,60.00
16:27,69.00,60.00
16:44,69.00,60.00
16:44,69.00,60.00
16:54,67.00,58.00
17:04,66.00,57.00
17:04,66.00,57.00
17:14,66.00,57.00
17:14,66.00,57.00
17:24,60.00,51.00
17:34,62.00,53.00
17:34,62.00,53.00
17:44,62.00,53.00
17:44,62.00,53.00
17:54,62.00,53.00
18:04,62.00,53.00
18:04,62.00,53.00
18:14,63.00,54.00
18:14,63.00,54.00
18:24,63.00,54.00
18:34,65.00,56.00
18:34,65.00,56.00
18:44,65.00,56.00
18:44,65.00,56.00
18:54,65.00,56.00
19:04,65.00,56.00
19:04,65.00,56.00
19:14,65.00,56.00
19:14,65.00,56.00
19:34,59.00,50.00
19:34,59.00,50.00
19:34,59.00,50.00
19:44,60.00,51.00
19:44,60.00,51.00
20:04,59.00,50.00
20:04,59.00,50.00
20:04,59.00,50.00
20:14,59.00,50.00
20:14,59.00,50.00
20:34,59.00,50.00
20:34,59.00,50.00
20:34,59.00,50.00
20:44,59.00,50.00
20:54,59.00,50.00
21:04,58.00,49.00
21:04,58.00,49.00
21:04,58.00,49.00
21:14,58.00,49.00
21:24,58.00,49.00
21:34,59.00,50.00
21:34,59.00,50.00
21:34,59.00,50.00
21:44,59.00,50.00
21:54,59.00,50.00
22:04,59.00,50.00
22:04,59.00,50.00
22:04,59.00,50.00
22:14,59.00,50.00
22:24,59.00,50.00
22:34,59.00,50.00
22:34,59.00,50.00
22:34,59.00,50.00
22:44,59.00,50.00
22:54,59.00,50.00
23:04,59.00,50.00
23:04,59.00,50.00
23:04,59.00,50.00
23:14,59.00,50.00
23:24,59.00,50.00
23:34,59.00,50.00
23:34,59.00,50.00
23:34,59.00,50.00
23:44,59.00,50.00
23:54,59.00,50.00
