Time, H35, H70 
00:02,142.80,138.60
00:03,142.80,138.60
00:05,142.80,138.60
00:09,145.50,141.40
00:11,145.50,141.40
00:13,145.50,141.40
00:15,145.50,141.40
00:15,145.50,141.40
00:19,145.50,141.40
00:21,145.50,141.40
00:23,145.90,141.80
00:27,145.90,141.80
00:29,145.90,141.80
00:31,145.90,141.80
00:31,145.90,141.80
00:33,145.90,141.80
00:37,145.80,141.70
00:41,145.80,141.70
00:41,145.80,141.70
00:44,145.80,141.70
00:46,145.80,141.70
00:46,145.80,141.70
00:48,145.80,141.70
00:50,145.80,141.70
00:55,145.70,141.60
00:58,145.70,141.60
00:59,145.70,141.60
00:59,145.70,141.60
01:03,145.70,141.60
01:03,145.70,141.60
01:05,145.70,141.60
01:10,145.70,141.50
01:10,145.70,141.50
01:15,145.70,141.50
01:15,145.70,141.50
01:15,145.70,141.50
01:19,145.70,141.50
01:21,145.70,141.50
01:25,145.60,141.40
01:29,145.60,141.40
01:29,145.60,141.40
01:31,145.60,141.40
01:33,145.60,141.40
01:33,145.60,141.40
01:37,145.50,141.40
01:39,145.50,141.40
01:42,145.50,141.40
01:45,145.50,141.40
01:45,145.50,141.40
01:47,145.50,141.40
01:49,145.50,141.40
01:51,145.50,141.40
01:55,145.50,141.30
01:59,145.50,141.30
01:59,145.50,141.30
01:59,145.50,141.30
01:59,145.50,141.30
01:59,145.50,141.30
02:07,145.50,141.30
02:11,145.50,141.30
02:11,145.50,141.30
02:15,145.50,141.30
02:17,145.50,141.30
02:17,145.50,141.30
02:19,145.50,141.30
02:21,145.50,141.30
02:25,139.30,135.20
02:29,139.30,135.20
02:29,139.30,135.20
02:31,139.30,135.20
02:34,139.30,135.20
02:34,139.30,135.20
02:37,139.30,135.20
02:41,139.30,135.20
02:41,139.30,135.20
02:45,139.30,135.20
02:47,139.30,135.20
02:47,139.30,135.20
02:51,139.30,135.20
02:51,139.30,135.20
02:55,140.20,136.00
02:59,140.20,136.00
03:01,140.20,136.00
03:01,140.20,136.00
03:03,140.20,136.00
03:03,140.20,136.00
03:09,140.10,135.90
03:11,140.10,135.90
03:13,140.10,135.90
03:15,140.10,135.90
03:17,140.10,135.90
03:17,140.10,135.90
03:21,140.10,135.90
03:23,140.40,136.20
03:27,140.40,136.20
03:29,140.40,136.20
03:31,140.40,136.20
03:33,140.40,136.20
03:35,140.40,136.20
03:35,140.40,136.20
03:39,140.40,136.20
03:43,140.40,136.20
03:43,140.40,136.20
03:45,140.40,136.20
03:47,140.40,136.20
03:47,140.40,136.20
03:51,140.40,136.20
03:53,140.30,136.10
03:57,140.30,136.10
03:59,140.30,136.10
04:01,140.30,136.10
04:03,140.30,136.10
04:05,140.30,136.10
04:05,140.30,136.10
04:09,140.20,136.10
04:13,140.20,136.10
04:13,140.20,136.10
04:17,140.20,136.10
04:17,140.20,136.10
04:17,140.20,136.10
04:21,140.20,136.10
04:23,140.00,135.80
04:27,140.00,135.80
04:31,140.00,135.80
04:31,140.00,135.80
04:31,140.00,135.80
04:35,140.00,135.80
04:35,140.00,135.80
04:39,139.90,135.80
04:43,139.90,135.80
04:43,139.90,135.80
04:47,139.90,135.80
04:47,139.90,135.80
04:49,139.90,135.80
04:51,139.90,135.80
04:53,139.90,135.70
04:57,139.90,135.70
05:01,139.90,135.70
05:01,139.90,135.70
05:03,139.90,135.70
05:05,139.90,135.70
05:05,139.90,135.70
05:09,139.80,135.60
05:13,139.80,135.60
05:13,139.80,135.60
05:17,139.80,135.60
05:19,139.80,135.60
05:19,139.80,135.60
05:22,139.80,135.60
05:23,140.20,136.10
05:27,140.20,136.10
05:31,140.20,136.10
05:31,140.20,136.10
05:34,140.20,136.10
05:36,140.20,136.10
05:36,140.20,136.10
05:38,140.10,135.90
05:43,140.10,135.90
05:43,140.10,135.90
05:43,140.10,135.90
05:43,140.10,135.90
05:43,140.10,135.90
05:43,140.10,135.90
05:43,140.10,135.90
05:57,140.00,135.80
05:59,140.00,135.80
05:59,140.00,135.80
05:59,140.00,135.80
06:05,140.00,135.80
06:05,140.00,135.80
06:09,130.70,126.60
06:13,130.70,126.60
06:15,130.70,126.60
06:17,130.70,126.60
06:19,130.70,126.60
06:19,130.70,126.60
06:23,131.90,127.70
06:25,131.90,127.70
06:29,131.90,127.70
06:32,131.90,127.70
06:33,131.90,127.70
06:35,131.90,127.70
06:37,131.90,127.70
06:37,131.90,127.70
06:41,131.80,127.70
06:45,131.80,127.70
06:45,131.80,127.70
06:48,131.80,127.70
06:49,131.80,127.70
06:49,131.80,127.70
06:53,131.80,127.60
06:55,131.80,127.60
06:59,131.80,127.60
06:59,131.80,127.60
06:59,131.80,127.60
07:05,131.80,127.60
07:07,131.80,127.60
07:07,131.80,127.60
07:11,131.70,127.50
07:15,131.70,127.50
07:15,131.70,127.50
07:19,131.70,127.50
07:19,131.70,127.50
07:21,131.70,127.50
07:23,132.30,128.10
07:25,132.30,128.10
07:29,132.30,128.10
07:32,132.30,128.10
07:34,132.30,128.10
07:35,132.30,128.10
07:35,132.30,128.10
07:35,132.30,128.10
07:42,132.30,128.10
07:42,132.30,128.10
07:42,132.30,128.10
07:48,132.20,128.00
07:51,132.20,128.00
07:51,132.20,128.00
07:54,132.20,128.00
07:56,132.20,128.00
07:59,132.20,128.00
08:02,132.20,128.00
08:04,132.20,128.00
08:05,132.20,128.00
08:07,132.20,128.00
08:07,132.20,128.00
08:11,132.10,127.90
08:15,132.10,127.90
08:15,132.10,127.90
08:17,132.10,127.90
08:21,132.10,127.90
08:21,132.10,127.90
08:23,131.20,127.00
08:25,131.20,127.00
08:29,131.20,127.00
08:33,131.20,127.00
08:33,131.20,127.00
08:35,131.20,127.00
08:37,131.20,127.00
08:37,131.20,127.00
08:41,131.10,127.00
08:45,131.10,127.00
08:45,131.10,127.00
08:48,131.10,127.00
08:48,131.10,127.00
08:48,131.10,127.00
08:48,131.10,127.00
08:48,131.10,127.00
08:48,131.10,127.00
09:02,122.70,118.50
09:02,122.70,118.50
09:02,122.70,118.50
09:02,122.70,118.50
09:02,122.70,118.50
09:10,122.70,118.50
09:10,122.70,118.50
09:10,122.70,118.50
09:10,122.70,118.50
09:10,122.70,118.50
09:10,122.70,118.50
09:25,122.70,118.50
09:25,122.70,118.50
09:31,121.30,117.10
09:31,121.30,117.10
09:31,121.30,117.10
09:36,121.30,117.10
09:36,121.30,117.10
09:40,121.30,117.10
09:40,121.30,117.10
09:40,121.30,117.10
09:40,121.30,117.10
09:48,121.30,117.10
09:48,121.30,117.10
09:48,121.30,117.10
09:55,121.30,117.20
09:57,121.30,117.20
09:58,121.30,117.20
10:02,121.30,117.20
10:04,121.30,117.20
10:06,121.30,117.20
10:08,121.30,117.20
10:08,121.30,117.20
10:08,121.30,117.20
10:14,119.60,115.40
10:16,119.60,115.40
10:18,119.60,115.40
10:21,119.60,115.40
10:23,119.60,115.40
10:23,119.60,115.40
10:23,119.60,115.40
10:27,119.60,115.40
10:27,119.60,115.40
10:32,119.60,115.40
10:34,119.60,115.40
10:36,119.60,115.40
10:38,119.60,115.40
10:40,119.60,115.40
10:40,119.60,115.40
10:44,119.60,115.40
10:48,119.60,115.40
10:48,119.60,115.40
10:50,119.60,115.40
10:52,119.60,115.40
10:52,119.60,115.40
10:56,119.60,115.40
10:58,119.60,115.40
11:00,119.60,115.40
11:02,119.60,115.40
11:06,119.60,115.40
11:06,119.60,115.40
11:08,119.60,115.40
11:10,116.70,112.60
11:10,116.70,112.60
11:14,116.70,112.60
11:18,116.70,112.60
11:18,116.70,112.60
11:18,116.70,112.60
11:23,116.70,112.60
