Time, H35, H70 
00:07,90.00,81.00
00:07,90.00,81.00
00:17,90.00,81.00
00:17,90.00,81.00
00:37,90.00,81.00
00:37,90.00,81.00
00:47,90.00,81.00
00:47,90.00,81.00
01:07,90.00,81.00
01:07,90.00,81.00
01:17,90.00,81.00
01:27,90.00,81.00
01:37,90.00,81.00
01:37,90.00,81.00
01:47,90.00,81.00
01:57,90.00,81.00
02:07,90.00,81.00
02:07,90.00,81.00
02:17,90.00,81.00
02:27,90.00,81.00
02:37,90.00,81.00
02:37,90.00,81.00
02:47,90.00,81.00
02:57,90.00,81.00
03:07,90.00,81.00
03:07,90.00,81.00
03:17,90.00,81.00
03:27,90.00,81.00
03:37,90.00,81.00
03:37,90.00,81.00
03:47,90.00,81.00
03:57,90.00,81.00
04:07,90.00,81.00
04:07,90.00,81.00
04:17,90.00,81.00
04:27,90.00,81.00
04:37,90.00,81.00
04:37,90.00,81.00
04:47,90.00,81.00
04:57,90.00,81.00
05:07,90.00,81.00
05:07,90.00,81.00
05:27,90.00,81.00
05:27,90.00,81.00
05:37,90.00,81.00
05:37,90.00,81.00
05:57,90.00,81.00
05:57,90.00,81.00
06:07,90.00,81.00
06:07,90.00,81.00
06:27,85.00,76.00
06:27,85.00,76.00
06:37,85.00,76.00
06:37,85.00,76.00
06:57,86.00,77.00
06:57,86.00,77.00
07:07,85.00,76.00
07:07,85.00,76.00
07:27,86.00,77.00
07:27,86.00,77.00
07:37,86.00,77.00
07:37,86.00,77.00
07:57,86.00,77.00
07:57,86.00,77.00
08:07,82.00,73.00
08:07,82.00,73.00
08:27,78.00,69.00
08:27,78.00,69.00
08:37,78.00,69.00
08:37,78.00,69.00
08:57,78.00,69.00
08:57,78.00,69.00
09:07,78.00,69.00
09:07,78.00,69.00
09:27,78.00,69.00
09:27,78.00,69.00
09:37,78.00,69.00
09:37,78.00,69.00
09:57,78.00,69.00
09:57,78.00,69.00
10:07,78.00,69.00
10:07,78.00,69.00
10:27,78.00,69.00
10:27,78.00,69.00
10:37,78.00,69.00
10:47,73.00,64.00
10:57,71.00,62.00
10:57,71.00,62.00
11:07,72.00,63.00
11:17,72.00,63.00
11:27,72.00,63.00
11:27,72.00,63.00
11:37,72.00,63.00
11:47,72.00,63.00
11:57,69.00,60.00
11:57,69.00,60.00
12:07,66.00,57.00
12:17,67.00,58.00
12:27,66.00,57.00
12:27,66.00,57.00
12:37,66.00,57.00
12:47,64.00,55.00
12:57,63.00,54.00
12:57,63.00,54.00
13:07,62.00,53.00
13:17,63.00,54.00
13:27,62.00,53.00
13:27,62.00,53.00
13:27,62.00,53.00
13:37,63.00,54.00
13:47,61.00,52.00
13:57,58.00,49.00
13:57,58.00,49.00
13:57,58.00,49.00
14:07,57.00,48.00
14:17,57.00,48.00
14:27,54.00,45.00
14:27,54.00,45.00
14:27,54.00,45.00
14:47,78.00,69.00
14:47,78.00,69.00
14:57,94.00,85.00
14:57,94.00,85.00
14:57,94.00,85.00
15:17,141.00,132.00
15:17,141.00,132.00
15:31,155.00,146.00
15:31,155.00,146.00
15:31,155.00,146.00
15:47,155.00,146.00
15:47,155.00,146.00
15:57,155.00,146.00
15:57,155.00,146.00
15:57,155.00,146.00
16:17,150.00,141.00
16:17,150.00,141.00
16:27,150.00,141.00
16:27,150.00,141.00
16:27,150.00,141.00
16:44,150.00,141.00
16:44,150.00,141.00
16:54,150.00,141.00
17:04,150.00,141.00
17:04,150.00,141.00
17:14,150.00,141.00
17:14,150.00,141.00
17:24,148.00,139.00
17:34,144.00,135.00
17:34,144.00,135.00
17:44,145.00,136.00
17:44,145.00,136.00
17:54,145.00,136.00
18:04,145.00,136.00
18:04,145.00,136.00
18:14,145.00,136.00
18:14,145.00,136.00
18:24,140.00,131.00
18:34,141.00,132.00
18:34,141.00,132.00
18:44,139.00,130.00
18:44,139.00,130.00
18:54,139.00,130.00
19:04,139.00,130.00
19:04,139.00,130.00
19:14,139.00,130.00
19:14,139.00,130.00
19:34,139.00,130.00
19:34,139.00,130.00
19:34,139.00,130.00
19:44,136.00,127.00
19:44,136.00,127.00
20:04,132.00,123.00
20:04,132.00,123.00
20:04,132.00,123.00
20:14,126.00,117.00
20:14,126.00,117.00
20:34,127.00,118.00
20:34,127.00,118.00
20:34,127.00,118.00
20:44,127.00,118.00
20:54,126.00,117.00
21:04,125.00,116.00
21:04,125.00,116.00
21:04,125.00,116.00
21:14,125.00,116.00
21:24,123.00,114.00
21:34,122.00,113.00
21:34,122.00,113.00
21:34,122.00,113.00
21:44,121.00,112.00
21:54,121.00,112.00
22:04,121.00,112.00
22:04,121.00,112.00
22:04,121.00,112.00
22:14,121.00,112.00
22:24,120.00,111.00
22:34,119.00,110.00
22:34,119.00,110.00
22:34,119.00,110.00
22:44,119.00,110.00
22:54,119.00,110.00
23:04,119.00,110.00
23:04,119.00,110.00
23:04,119.00,110.00
23:14,119.00,110.00
23:24,120.00,111.00
23:34,120.00,111.00
23:34,120.00,111.00
23:34,120.00,111.00
23:44,120.00,111.00
23:54,120.00,111.00
