Time, H35, H70 
00:06,107.40,103.20
00:22,107.30,103.20
00:36,107.30,103.20
00:54,107.30,103.10
01:06,108.50,104.40
01:22,108.50,104.40
01:38,108.50,104.30
01:54,108.50,104.30
02:08,108.40,104.30
02:24,108.40,104.30
02:38,108.30,104.20
02:54,108.30,104.10
03:08,108.10,103.90
03:24,108.00,103.90
03:38,108.00,103.80
03:56,107.90,103.70
04:08,108.10,103.90
04:26,108.00,103.80
04:40,108.00,103.80
04:56,108.00,103.80
05:08,107.60,103.40
05:26,107.60,103.40
05:40,107.50,103.40
05:56,107.50,103.40
06:10,107.30,103.20
06:26,107.30,103.10
06:40,103.30,99.10
06:58,97.40,93.30
07:11,101.80,97.60
07:28,101.70,97.60
07:42,101.70,97.60
07:58,101.70,97.50
08:12,101.60,97.50
08:28,100.80,96.70
08:42,100.80,96.70
08:58,100.80,96.60
09:12,100.80,96.60
09:28,92.70,88.60
09:42,92.90,88.80
10:00,74.20,70.00
10:12,74.20,70.00
10:30,80.30,76.20
10:44,80.30,76.20
11:00,79.50,75.30
11:14,79.50,75.30
11:30,69.20,65.00
11:42,69.20,65.00
12:00,68.00,63.90
12:14,68.00,63.90
12:30,71.90,67.80
12:44,71.90,67.80
13:02,71.40,67.20
13:16,75.00,70.80
13:28,75.00,70.80
13:32,75.20,71.00
13:46,75.30,71.10
13:58,75.30,71.10
14:02,77.70,73.50
14:16,77.60,73.40
14:30,77.60,73.40
14:32,77.60,73.40
14:46,77.50,73.40
15:00,77.50,73.40
15:02,67.40,63.20
15:16,57.80,53.60
15:30,57.80,53.60
15:32,61.80,57.70
15:46,64.20,60.10
16:00,64.20,60.10
16:04,65.60,61.50
16:17,65.50,61.40
16:32,65.50,61.30
16:34,65.50,61.30
16:48,65.50,61.40
17:02,66.30,62.10
17:04,66.30,62.10
17:18,69.30,65.10
17:32,70.50,66.30
17:34,70.50,66.30
17:48,70.50,66.30
18:02,70.40,66.20
18:04,70.40,66.20
18:18,63.70,59.50
18:32,68.00,63.90
18:36,68.00,63.90
18:48,69.50,65.30
19:02,69.40,65.20
19:06,69.40,65.20
19:20,69.40,65.20
19:34,63.60,59.50
19:36,63.60,59.50
19:50,20.20,16.00
20:04,20.20,16.00
20:06,20.20,16.00
20:20,20.20,16.00
20:34,20.20,16.00
20:36,20.20,16.00
20:50,185.80,181.60
21:05,185.70,181.60
21:06,185.70,181.60
21:20,174.40,170.30
21:34,178.20,174.10
21:38,178.20,174.10
21:50,182.00,177.80
22:04,185.90,181.70
22:08,185.90,181.70
22:22,181.80,177.60
22:36,181.80,177.60
22:38,181.80,177.60
22:52,181.70,177.50
23:06,181.60,177.50
23:08,181.60,177.50
23:22,181.90,177.80
23:36,181.90,177.80
23:38,181.90,177.80
23:52,181.90,177.70
