Time, H35, H70 
00:08,0.00,0.00
00:10,0.00,0.00
00:24,0.00,0.00
00:38,0.00,0.00
00:40,0.00,0.00
00:54,0.00,0.00
01:08,0.00,0.00
01:10,0.00,0.00
01:24,0.00,0.00
01:38,0.00,0.00
01:40,0.00,0.00
01:54,0.00,0.00
02:10,0.00,0.00
02:12,0.00,0.00
02:24,0.00,0.00
02:40,0.00,0.00
02:42,0.00,0.00
02:54,0.00,0.00
03:10,0.00,0.00
03:12,0.00,0.00
03:26,0.00,0.00
03:40,0.00,0.00
03:42,0.00,0.00
03:56,0.00,0.00
04:10,0.00,0.00
04:12,0.00,0.00
04:26,0.00,0.00
04:40,0.00,0.00
04:42,0.00,0.00
04:56,0.00,0.00
05:12,0.00,0.00
05:14,0.00,0.00
05:26,0.00,0.00
05:42,0.00,0.00
05:44,0.00,0.00
05:56,0.00,0.00
06:12,0.00,0.00
06:14,0.00,0.00
06:28,0.00,0.00
06:42,0.00,0.00
06:44,0.00,0.00
06:58,0.00,0.00
07:12,58.90,54.70
07:14,58.70,54.60
07:28,58.70,54.60
07:42,58.70,54.60
07:44,165.00,160.90
07:58,165.00,160.90
08:13,147.20,143.10
08:15,146.00,141.80
08:29,146.00,141.80
08:43,140.30,136.10
08:45,140.30,136.20
08:57,140.30,136.20
09:13,140.30,136.20
09:15,135.40,131.20
09:29,135.40,131.20
09:43,126.40,122.30
09:47,124.10,120.00
09:59,124.10,120.00
10:15,129.90,125.70
10:17,129.90,125.70
10:29,129.90,125.70
10:45,118.00,113.80
10:47,118.00,113.80
10:59,118.00,113.80
10:59,118.00,113.80
11:15,121.60,117.40
11:17,121.60,117.40
11:29,121.60,117.40
11:31,121.70,117.50
11:45,119.90,115.70
11:47,119.90,115.70
12:00,111.90,107.70
12:00,111.90,107.70
12:16,117.70,113.60
12:18,117.70,113.60
12:30,109.40,105.20
12:32,109.40,105.20
12:46,109.60,105.50
12:48,109.60,105.50
13:00,103.60,99.50
13:02,103.60,99.50
13:16,108.70,104.60
13:18,108.70,104.60
13:30,108.60,104.40
13:32,108.60,104.40
13:46,102.00,97.80
13:48,102.00,97.80
14:02,102.20,98.00
14:02,102.20,98.00
14:16,102.20,98.00
14:18,102.20,98.00
14:32,100.40,96.30
14:32,100.40,96.30
14:48,97.60,93.40
14:50,97.60,93.40
15:02,99.50,95.30
15:02,99.50,95.30
15:18,99.20,95.10
15:20,99.20,95.10
15:32,94.80,90.60
15:34,94.80,90.60
15:48,97.50,93.30
15:50,97.50,93.30
16:02,90.50,86.40
16:04,90.50,86.40
16:18,93.10,88.90
16:20,93.10,88.90
16:32,88.10,84.00
16:34,88.10,84.00
16:48,88.10,84.00
16:50,88.10,84.00
17:04,88.40,84.20
17:04,88.40,84.20
17:18,85.00,80.90
17:20,85.00,80.90
17:34,86.90,82.70
17:34,86.90,82.70
17:50,86.80,82.60
17:52,86.80,82.60
18:04,86.80,82.60
18:04,86.80,82.60
18:20,83.80,79.60
18:22,83.80,79.60
18:34,80.70,76.50
18:36,80.70,76.50
18:50,80.80,76.70
18:52,80.80,76.70
19:04,80.80,76.70
19:06,80.80,76.70
19:20,0.00,0.00
19:22,0.00,0.00
19:34,0.00,0.00
19:36,0.00,0.00
19:50,0.00,0.00
19:52,0.00,0.00
20:06,0.00,0.00
20:06,0.00,0.00
20:22,0.00,0.00
20:22,0.00,0.00
20:36,0.00,0.00
20:36,0.00,0.00
20:52,0.00,0.00
20:54,0.00,0.00
21:06,0.00,0.00
21:06,0.00,0.00
21:22,0.00,0.00
21:24,0.00,0.00
21:36,0.00,0.00
21:36,0.00,0.00
21:52,0.00,0.00
21:54,0.00,0.00
22:06,0.00,0.00
22:08,0.00,0.00
22:22,0.00,0.00
22:24,0.00,0.00
22:36,0.00,0.00
22:38,0.00,0.00
22:52,0.00,0.00
22:54,0.00,0.00
23:08,0.00,0.00
23:08,0.00,0.00
23:24,0.00,0.00
23:24,0.00,0.00
23:38,0.00,0.00
23:38,0.00,0.00
23:54,0.00,0.00
23:56,0.00,0.00
